20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP001	パラレルエクシード	71278040	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP002	コードブレイカー・ゼロデイ	08662794	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP003	転生炎獣ゼブロイドX	44161893	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP004	剛鬼アイアン・クロー	71555408	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP005	剛鬼ガッツ	07540107	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP006	海晶乙女バシランリマ	33945211	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP007	ノクトビジョン・ドラゴン	70333910	効果	R
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP008	アークネメシス・プロートス	06728559	特殊召喚／効果	SR|SER|20thSER
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP009	アークネメシス・エスカトス	33212663	特殊召喚／効果	SR|SER|20thSER
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP010	ネメシス・フラッグ	19211362	効果	R
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP011	ネメシス・アンブレラ	46606977	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP012	ネメシス・コリドー	72090076	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP013	深海のアーチザン	08495780	効果	R
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP014	深海のセントリー	45483489	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP015	深海のミンストレル	71978434	チューナー／効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP016	スカーレッド・ファミリア	08372133	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP017	クリムゾン・リゾネーター	34761841	チューナー／効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP018	ランタン・シャーク	70156946	効果	N
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP019	カッター・シャーク	07150545	効果	R
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP020	戦華の孟－曹徳	33545259	効果	R
20200111	基本パック	第10期	ETERNITY CODE	ETCO-JP021	戦華の来－張遠	60033398	効果	N
